 cnt,      real, imaginaly, amplitude,     phase
   0, -1.896881,  0.000000,  5.560802,  3.141593
   1, -2.751166, -1.331435,  9.704229, -2.690865
   2,  0.778387,  1.268508,  3.453737,  1.020419
   3,  1.574596, -0.141578,  3.978351, -0.089673
   4,  0.405885, -1.252773,  2.390949, -1.257479
   5, -0.241092,  1.208472,  1.814231,  1.767713
   6,  1.005983, -0.790227,  2.139055, -0.665854
   7, -0.232672,  1.259881,  2.152239,  1.753416
   8,  1.386840, -0.757719,  3.974990, -0.500047
   9, -0.976594,  0.677369,  1.500084,  2.535173
  10,  0.073658, -0.315746, -9.783093, -1.341612
  11, -0.376173, -0.160309, -7.767507, -2.738742
  12, -0.141120,  0.230296,-11.369674,  2.120558
  13, -0.002642,  0.045866,-26.755768,  1.628345
  14, -0.192169,  0.000195,-14.326325,  3.140575
  15, -0.089703,  0.125117,-16.252345,  2.192810
  16, -0.064011, -0.014584,-23.655135, -2.917581
  17, -0.222598,  0.202954,-10.421990,  2.402322
  18, -0.078530,  0.180963,-14.098878,  1.980229
  19, -0.272019, -0.076564,-10.976888, -2.867225
  20,  0.167385,  0.143427,-13.134609,  0.708470
  21, -0.014564, -0.078380,-21.968441, -1.754512
  22, -0.102013,  0.067643,-18.244207,  2.556077
  23,  0.005859,  0.026968,-31.182780,  1.356870
  24, -0.096876, -0.066108,-18.615304, -2.542782
  25,  0.051849, -0.000000,-25.705131, -0.000000
  26, -0.096876,  0.066108,-18.615304,  2.542782
  27,  0.005859, -0.026968,-31.182780, -1.356870
  28, -0.102013, -0.067643,-18.244207, -2.556077
  29, -0.014564,  0.078380,-21.968441,  1.754512
  30,  0.167385, -0.143427,-13.134609, -0.708470
  31, -0.272019,  0.076564,-10.976888,  2.867225
  32, -0.078530, -0.180963,-14.098878, -1.980229
  33, -0.222598, -0.202954,-10.421990, -2.402322
  34, -0.064011,  0.014584,-23.655135,  2.917581
  35, -0.089703, -0.125117,-16.252345, -2.192810
  36, -0.192169, -0.000195,-14.326325, -3.140575
  37, -0.002642, -0.045866,-26.755768, -1.628345
  38, -0.141120, -0.230296,-11.369674, -2.120558
  39, -0.376173,  0.160309, -7.767507,  2.738742
  40,  0.073658,  0.315746, -9.783093,  1.341612
  41, -0.976594, -0.677369,  1.500084, -2.535173
  42,  1.386840,  0.757719,  3.974990,  0.500047
  43, -0.232672, -1.259881,  2.152239, -1.753416
  44,  1.005983,  0.790227,  2.139055,  0.665854
  45, -0.241092, -1.208472,  1.814231, -1.767713
  46,  0.405885,  1.252773,  2.390949,  1.257479
  47,  1.574596,  0.141578,  3.978351,  0.089673
  48,  0.778387, -1.268508,  3.453737, -1.020419
  49, -2.751166,  1.331435,  9.704229,  2.690865
